,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_colsample_bylevel,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_od_type,params_od_wait,params_random_strength,params_subsample,state
86,86,0.28792888888888885,2025-06-26 13:14:49.415861,2025-06-26 13:15:30.371721,0 days 00:00:40.955860,9.656003559631315e-05,MVS,0.7356116816911669,10,2.9874708137070893,0.13332906110934062,100,Iter,38,0.22482381569495208,0.13088848367834144,COMPLETE
87,87,0.2898533333333333,2025-06-26 13:15:30.372489,2025-06-26 13:16:13.863054,0 days 00:00:43.490565,0.8887063634223238,MVS,0.2571206436471817,9,3.233436452669683,0.03077373422004101,69,Iter,42,0.096877206004031,0.061580186930116625,COMPLETE
88,88,0.2869333333333333,2025-06-26 13:16:13.863853,2025-06-26 13:16:40.542785,0 days 00:00:26.678932,9.023998752010851e-06,MVS,0.5369225489986417,7,1.4750320901017953,0.05539220613185494,97,Iter,39,0.1436976555032912,0.059038069235120824,COMPLETE
89,89,0.28775555555555554,2025-06-26 13:16:40.543604,2025-06-26 13:16:58.443099,0 days 00:00:17.899495,2.5628793784522026,MVS,0.4632952219627101,9,3.085282415756191,0.1183970838331893,76,Iter,36,0.19095182596516122,0.08380194329053778,COMPLETE
90,90,0.2863911111111111,2025-06-26 13:16:58.443938,2025-06-26 13:17:28.944257,0 days 00:00:30.500319,0.33979903718386384,MVS,0.20808744358923162,8,3.1276211406602563,0.011160771391584494,63,Iter,33,0.10388311442544274,0.0971783973048646,COMPLETE
91,91,0.28802222222222224,2025-06-26 13:17:28.945311,2025-06-26 13:18:15.699715,0 days 00:00:46.754404,0.0006753729559291281,MVS,0.47571758697281313,8,2.4655107679178845,0.019912986664550027,94,Iter,45,0.2818218858057427,0.05590871102477877,COMPLETE
92,92,0.2865955555555555,2025-06-26 13:18:15.700589,2025-06-26 13:18:43.097173,0 days 00:00:27.396584,0.10265633304614506,MVS,0.7694561596236208,8,3.603574286238019,0.0966883165984872,35,Iter,30,0.6384153918772757,0.2553302208209787,COMPLETE
93,93,0.2899288888888889,2025-06-26 13:18:43.098364,2025-06-26 13:19:37.917543,0 days 00:00:54.819179,0.42823187941379504,MVS,0.4118897681855141,9,3.179783944087877,0.018943597460621214,73,IncToDec,23,0.21505290128786128,0.1394822614264652,COMPLETE
94,94,0.2880933333333333,2025-06-26 13:19:37.918413,2025-06-26 13:20:58.736319,0 days 00:01:20.817906,1.6365655006089306,MVS,0.6077404995589563,10,3.2111500357853893,0.024668214562212052,75,IncToDec,25,0.2115074393613496,0.1645173471125567,COMPLETE
95,95,0.28757333333333335,2025-06-26 13:20:58.737151,2025-06-26 13:21:33.082990,0 days 00:00:34.345839,0.012932612167816908,Bayesian,0.17702522421664557,10,3.5623220291761313,0.03305755843108937,71,Iter,50,0.14365669155534286,0.0713335833368182,COMPLETE
96,96,0.28685777777777777,2025-06-26 13:21:33.084186,2025-06-26 13:22:05.534253,0 days 00:00:32.450067,0.14071276338087463,MVS,0.39650347777866046,7,2.7338321440692255,0.023765929627881738,83,IncToDec,26,0.3727035939889689,0.20586704787814025,COMPLETE
97,97,0.2849955555555555,2025-06-26 13:22:05.535064,2025-06-26 13:22:41.098782,0 days 00:00:35.563718,0.3653504573426566,MVS,0.355050341602406,8,3.6716596536894084,0.0014369595092318535,97,IncToDec,11,0.39108762646796236,0.14027607447251017,COMPLETE
98,98,0.2885155555555555,2025-06-26 13:22:41.099674,2025-06-26 13:23:17.377668,0 days 00:00:36.277994,0.020915423248273866,MVS,0.2573272047768629,10,2.9749357804623364,0.05987434653822892,76,IncToDec,50,0.21525332576374262,0.09134362959964845,COMPLETE
99,99,0.2879111111111112,2025-06-26 13:23:17.378483,2025-06-26 13:23:59.959190,0 days 00:00:42.580707,0.04662787982595907,Bayesian,0.6314370248737978,8,1.6820312404740547,0.07374112772227641,87,Iter,41,0.1436764929260162,0.2052145890443377,COMPLETE
100,100,0.2846933333333333,2025-06-26 13:23:59.960042,2025-06-26 13:24:08.380119,0 days 00:00:08.420077,1.9181711664071997e-05,MVS,0.19337521191208187,5,1.9231626719493922,0.08418510762330267,67,Iter,16,0.5492076664499022,0.18423565660794172,COMPLETE
